label,run_id,total,emeralds,tomatoes,trades,params_json
wall_54,v39-4-wall-55,15643.0,7723.0,7920.0,691,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_81,v39-4-wall-82,15643.0,7723.0,7920.0,691,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_10,v39-4-wall-11,15627.0,7723.0,7904.0,682,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_11,v39-4-wall-12,15627.0,7723.0,7904.0,682,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_37,v39-4-wall-38,15627.0,7723.0,7904.0,682,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_64,v39-4-wall-65,15627.0,7723.0,7904.0,682,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_65,v39-4-wall-66,15627.0,7723.0,7904.0,682,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_67,v39-4-wall-68,15615.0,7723.0,7892.0,691,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_68,v39-4-wall-69,15615.0,7723.0,7892.0,691,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_01,v39-4-wall-02,15605.0,7723.0,7882.0,682,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_28,v39-4-wall-29,15605.0,7723.0,7882.0,682,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_29,v39-4-wall-30,15605.0,7723.0,7882.0,682,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_55,v39-4-wall-56,15605.0,7723.0,7882.0,682,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.16, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_16,v39-4-wall-17,15590.0,7723.0,7867.0,695,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_43,v39-4-wall-44,15590.0,7723.0,7867.0,695,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_70,v39-4-wall-71,15590.0,7723.0,7867.0,695,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_71,v39-4-wall-72,15590.0,7723.0,7867.0,695,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
baseline_v39_4,v39-4-wall-01,15573.0,7723.0,7850.0,688,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_14,v39-4-wall-15,15573.0,7723.0,7850.0,688,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_41,v39-4-wall-42,15573.0,7723.0,7850.0,688,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_42,v39-4-wall-43,15573.0,7723.0,7850.0,688,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.16, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_09,v39-4-wall-10,15570.0,7723.0,7847.0,685,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_36,v39-4-wall-37,15570.0,7723.0,7847.0,685,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_59,v39-4-wall-60,15570.0,7723.0,7847.0,685,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_60,v39-4-wall-61,15570.0,7723.0,7847.0,685,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_25,v39-4-wall-26,15563.0,7723.0,7840.0,691,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_52,v39-4-wall-53,15563.0,7723.0,7840.0,691,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_53,v39-4-wall-54,15563.0,7723.0,7840.0,691,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_79,v39-4-wall-80,15563.0,7723.0,7840.0,691,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.3, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_51,v39-4-wall-52,15529.0,7723.0,7806.0,687,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_78,v39-4-wall-79,15529.0,7723.0,7806.0,687,"{""WALL_ALPHA_WEIGHT"": 0.1, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.2, ""WALL_PERSISTENCE_FLOOR"": 0.45}"
wall_04,v39-4-wall-05,15522.0,7723.0,7799.0,688,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
wall_05,v39-4-wall-06,15522.0,7723.0,7799.0,688,"{""WALL_ALPHA_WEIGHT"": 0.0, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.35}"
wall_31,v39-4-wall-32,15522.0,7723.0,7799.0,688,"{""WALL_ALPHA_WEIGHT"": 0.05, ""WALL_EWMA_ALPHA"": 0.22, ""WALL_FAIR_WEIGHT"": 0.12, ""WALL_PERSISTENCE_FLOOR"": 0.25}"
