label,run_id,total,emeralds,tomatoes,trades,params_json
v40_state_08,v40-state-sweep-12,15404.0,7723.0,7681.0,689,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_26,v40-state-sweep-30,15398.0,7723.0,7675.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_36,v40-state-sweep-40,15398.0,7723.0,7675.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_38,v40-state-sweep-42,15398.0,7723.0,7675.0,682,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.2, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.04, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_18,v40-state-sweep-22,15389.0,7723.0,7666.0,689,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.2, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
more_calm_joining,v40-state-sweep-03,15374.0,7723.0,7651.0,689,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_28,v40-state-sweep-32,15374.0,7723.0,7651.0,689,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_33,v40-state-sweep-37,15374.0,7723.0,7651.0,689,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_35,v40-state-sweep-39,15374.0,7723.0,7651.0,689,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.08, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_23,v40-state-sweep-27,15373.0,7723.0,7650.0,686,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.2, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.35}"
