candidate_id,iteration,rank,objective,total,tomatoes_total,min_day_total,avg_inventory,inventory_penalty,TOMATOES.BASE_TAKE_EDGE,TOMATOES.BASE_QUOTE_EDGE,TOMATOES.ALPHA_EDGE_SCALE,TOMATOES.ALPHA_BLEND_WEIGHT,TOMATOES.REGIME_EWMA_ALPHA,TOMATOES.LEAN_SCORE,TOMATOES.STRONG_SCORE,TOMATOES.DEFENSIVE_VOL_THRESHOLD
v40_7-day1-it01-cand05,1,4,18694.685500000003,15627.0,7904.0,15627.0,11.5429,57.7145,0.7389438696017672,2.6540661745141545,1.363515269820417,0.2589039852981501,0.23326618809700092,0.426385596961622,1.0390050063356857,3.3918369734604914
v40_7-day1-it01-cand04,1,5,18667.3905,15612.0,7889.0,15612.0,13.4019,67.0095,0.7767518648236496,2.674674396709271,1.3656857145271177,0.27880835621655986,0.24373702540785183,0.4427561541737236,1.042368258794143,3.395155002813804
v40_7-day1-it01-cand06,1,6,18607.7945,15556.0,7833.0,15556.0,11.8811,59.4055,0.7579802672759853,2.6209411397787017,1.40541325710054,0.2580547785160158,0.22869134780517889,0.45035923106325976,1.0572784954735919,3.411802429628411
v40_7-day1-it01-cand02,1,7,18548.099,15503.0,7780.0,15503.0,11.1002,55.501,0.7598614088295906,2.6629084191522083,1.3687342817129389,0.24460979843809907,0.25221824593945724,0.4698624133481597,1.0699567896022808,3.4333472040216986
v40_7-day1-it01-cand03,1,8,18534.146500000003,15502.0,7779.0,15502.0,13.6507,68.2535,0.7361879581166685,2.6496512044699307,1.3707164959320444,0.28923515393527083,0.23562350653170666,0.4610188103067448,1.0849062164285952,3.3954787107851385
v40_7-day1-it02-cand01,2,1,18885.935999999998,15793.0,8070.0,15793.0,13.1328,65.664,0.7645964864393539,2.647258676400004,1.361738811888737,0.2795296756493532,0.23370915526103386,0.4513189341222629,1.0522027482032723,3.423209141270585
v40_7-day1-it02-cand03,2,2,18870.069,15779.0,8056.0,15779.0,12.9462,64.731,0.7627462965216912,2.6193664255398703,1.3618955307423328,0.2610067015476398,0.24496353137343493,0.4590790317700346,1.0590305405169897,3.45698918321599
v40_7-day1-it02-cand02,2,3,18827.446500000002,15746.0,8023.0,15746.0,13.5507,67.7535,0.7618670296640716,2.6601164336180148,1.3628512000759012,0.29689923916990574,0.2412577428075586,0.43529545963022814,1.0613597736382567,3.387913043114747
v40_7-day1-it02-cand05,2,4,18767.744000000002,15692.0,7969.0,15692.0,12.5312,62.656,0.7356423660635939,2.6132316309496164,1.347167634075962,0.26767047061300375,0.2201131644726679,0.4305651529339373,1.0600649820473895,3.5311738804805595
v40_7-day1-it02-cand00,2,5,18592.0075,15543.0,7820.0,15543.0,11.9185,59.5925,0.7400370727706755,2.6416937373189224,1.3531249258481908,0.2573655891297267,0.2337672323392021,0.43032378653638503,1.0556826286331575,3.457460104325416
v40_7-day1-it02-cand06,2,6,18585.8015,15536.0,7813.0,15536.0,11.4797,57.3985,0.7600765925439369,2.6429181724918998,1.3450300061654914,0.2440383298342631,0.2481109521676246,0.42763325469772884,1.0637537633003031,3.353345925001164
v40_7-day1-it02-cand07,2,7,18571.5845,15532.0,7809.0,15532.0,13.3631,66.8155,0.7433490398915011,2.665998471767347,1.3541676604244421,0.2692897139718112,0.24327381508741933,0.44240211663417317,1.057446387439237,3.35677816758869
