session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
51,16135.0,9234.0,6901.0,-4,-2,49234.0,16996.0,1.582073408269734,0.998398614609114,0.8715641272776413,0.9965220916800932,0.7105092809920928,0.9959881309236549
52,14350.0,8271.0,6079.0,12,2,-111729.0,-3798.0,1.372815710010157,0.9959561729103908,0.8026981586029815,0.9935876648633364,0.5701175514071755,0.9941155118380093
53,14601.5,7450.0,7151.5,7,2,-62550.0,-2788.0,1.4111654799116549,0.9933792914272106,0.7575618057396181,0.9942694903986987,0.6536036741720368,0.9881507141059466
54,14544.0,7224.0,7320.0,8,11,-72776.0,-48032.0,1.4344255762542557,0.9954747027502494,0.7372569321045693,0.9887652183956595,0.6971686441496865,0.9972793622971725
55,14885.75,7607.0,7278.75,20,5,-192393.0,-17465.0,1.512139495079895,0.997250443346561,0.795340502463405,0.9947283951822057,0.7167989926164899,0.9969872558070584
56,13944.0,6612.0,7332.0,-4,12,46612.0,-52455.0,1.4040451517344514,0.9986673223213866,0.6607264726212647,0.9971830163278907,0.7433186791131868,0.9979296498617335
57,15270.5,7408.0,7862.5,1,1,-2592.0,2839.0,1.5028315707868156,0.994208568424884,0.7304556410605564,0.9976854522443117,0.7723759297262593,0.98437942516229
58,14895.0,7199.0,7696.0,23,17,-222801.0,-78035.0,1.5190204674882046,0.9984891111312393,0.7305709427617094,0.9948911039690028,0.7884495247264952,0.99785715216604
59,15672.0,8238.0,7434.0,14,12,-131762.0,-52254.0,1.5401789692587897,0.9980493178592945,0.7881209421452094,0.9952680355372858,0.7520580271135803,0.9978445994669346
60,13943.5,7317.0,6626.5,8,1,-72683.0,1733.0,1.4641466820119668,0.9962468076473635,0.75913499642535,0.9959434985898205,0.7050116855866169,0.9932976971915486
61,15150.5,7442.0,7708.5,20,-9,-192558.0,52974.0,1.5250387562638876,0.9942724213584372,0.7388371516343715,0.9960561424934399,0.786201604629516,0.9853436145007278
62,12975.0,6507.0,6468.0,4,-20,-33493.0,105923.0,1.30243800536088,0.997708726530333,0.6572155700061557,0.9976122590272712,0.6452224353547243,0.9940041377147358
63,13976.75,7356.0,6620.75,10,17,-92644.0,-78086.0,1.4206051274245513,0.9973853409951701,0.7340710727367107,0.9965428792124423,0.6865340546878406,0.9961116649046955
64,15441.0,8051.0,7390.0,-12,3,128051.0,-7727.0,1.5406500366840004,0.9992865678144519,0.8170203419742034,0.9946155530914795,0.723629694709797,0.9892350233425024
65,14585.0,8116.0,6469.0,-23,12,238116.0,-53180.0,1.4848530331605303,0.997668923045571,0.8293085795170858,0.9944834540563785,0.6555444536434445,0.9979780960022653
66,15020.25,7452.0,7568.25,-15,7,157452.0,-28025.0,1.5343679238406793,0.9954680575981011,0.7542242214062422,0.9968065397481916,0.780143702434437,0.9844392254972807
67,15162.0,7386.0,7776.0,-1,-2,17386.0,17875.0,1.5502361167858612,0.998580877005319,0.7298113542381135,0.9958940086297423,0.8204247625477477,0.9971698429243434
68,15164.0,8395.0,6769.0,6,-6,-51605.0,37180.0,1.524840192662402,0.9987870902504601,0.8400356152383561,0.9961017204849221,0.6848045774240458,0.9963088481105068
69,15337.75,8056.0,7281.75,23,11,-221944.0,-46896.0,1.5538520854320208,0.9942282024171428,0.8054423432424235,0.9960410875952227,0.7484097421895974,0.9870702963182084
70,14020.75,7016.0,7004.75,15,-13,-142984.0,72281.0,1.4611556028180561,0.9972223786756061,0.7277913926279139,0.9933432448365243,0.7333642101901421,0.9966864545163605
71,16055.0,8361.0,7694.0,-10,-30,108361.0,156674.0,1.5926138360976383,0.9967163758164637,0.8629955764579558,0.9983999931836882,0.7296182596396826,0.9843413357062067
72,15410.0,7878.0,7532.0,18,4,-172122.0,-12732.0,1.5956842834828429,0.9975992590416747,0.8064701040607011,0.9962251262185371,0.7892141794221418,0.9978326774209559
73,14294.75,8302.0,5992.75,-26,5,268302.0,-18926.0,1.4088860382098605,0.9984757414899633,0.793380298987803,0.9952562222775327,0.6155057392220574,0.9950688991267088
74,15679.25,7584.0,8095.25,2,1,-12416.0,3090.0,1.6243605257641052,0.9981603178386756,0.797126296149263,0.9964959161763817,0.8272342296148423,0.9967772673167907
75,12837.0,5777.0,7060.0,-3,-2,35777.0,16919.0,1.305819320420193,0.9983627449195855,0.6045950777559508,0.9919814663912421,0.7012242426642424,0.9973237088760097
76,14906.25,7882.0,7024.25,18,1,-172118.0,1963.0,1.4523419463019194,0.9980816839797301,0.783978508041785,0.9981958579021974,0.6683634382601343,0.9961262107198574
77,13772.25,7362.0,6410.25,-11,11,117362.0,-48653.0,1.3924646706781467,0.9874029900432968,0.7170072155460722,0.9950213433046907,0.6754574551320746,0.9527429615058678
78,13779.5,6890.0,6889.5,-17,2,176890.0,-3020.0,1.3839514799975148,0.9978210716675053,0.7103027242370272,0.9980317849440773,0.6736487557604875,0.9938743983364555
79,14654.5,7464.0,7190.5,16,5,-152536.0,-17822.0,1.4411476688424767,0.9989855810664208,0.7116206657102067,0.9940701876060475,0.72952700313227,0.9965513496013666
80,16439.5,8244.0,8195.5,9,14,-81756.0,-61318.0,1.5957162667381626,0.9977036216022974,0.8344498873724989,0.9987534236336015,0.7612663793656638,0.9909760033737828
81,13939.75,7053.0,6886.75,1,5,-2947.0,-18032.0,1.4158797742412979,0.9991443748941394,0.7109555257135552,0.9989728500317295,0.7049242485277425,0.9974071372242366
82,14380.5,7393.0,6987.5,29,3,-282607.0,-8332.0,1.4278165511381655,0.9981271016570821,0.719131706097317,0.9971759929129272,0.7086848450408485,0.9973871245868914
83,13643.0,7345.0,6298.0,-16,15,167345.0,-70682.0,1.3568955198389552,0.9945560013099134,0.7298766851907669,0.9952319298126003,0.6270188346481883,0.9926218789127007
84,14260.25,7604.0,6656.25,-38,17,387604.0,-78552.0,1.475682091426321,0.9952112801471384,0.7793077406450774,0.9951545656399786,0.6963743507812435,0.9932648907687136
85,14285.75,6499.0,7786.75,17,9,-163501.0,-37319.0,1.4926372098073721,0.9912700016695519,0.6559886380758864,0.9947517432738425,0.8366485717314858,0.9841684254771943
86,14505.0,7712.0,6793.0,-17,3,177712.0,-8243.0,1.4272690427881904,0.9975056997512349,0.7794717801007178,0.9974365641656637,0.6477972626874726,0.9948502483961033
