session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
688,-2,15592.0,7248.0,8344.0,1.5453197835436978,0.9965854065924797,0.6742702749347027,0.9932496661337588,0.8710495086089951,0.9954166225166756
689,-2,15654.0,7209.0,8445.0,1.525103604840536,0.9985679212122397,0.7043128803891288,0.9969083041359731,0.8207907244514072,0.998565369553375
690,-2,14630.0,6960.0,7670.0,1.4369365814243658,0.9980104330085963,0.6692663252486633,0.9940737250151408,0.7676702561757026,0.9921768287090112
691,-2,15258.0,7190.0,8068.0,1.5360649292541493,0.9982494780267679,0.6679480120754802,0.9909403432610489,0.8681169171786691,0.9911016788568608
692,-2,14277.5,7465.0,6812.5,1.3345709515262094,0.9901926310766402,0.7327339730533398,0.9917413429570611,0.6018369784728698,0.9660653583478618
693,-2,17622.25,7919.0,9703.25,1.712815899766159,0.9983872461155311,0.7750873647948736,0.9983368541135416,0.9377285349712854,0.9965377299249889
694,-2,15699.5,8094.0,7605.5,1.6143184442026843,0.9984765402477173,0.7958148204441482,0.9983738131924939,0.8185036237585362,0.9946899855550279
695,-2,14942.5,7724.0,7218.5,1.465653092683531,0.9967952438801039,0.7676169325701693,0.9951500599414044,0.6980361601133616,0.9953442701012628
696,-2,16748.0,8455.0,8293.0,1.6542013576995136,0.9974393305534799,0.8636365837163659,0.995559933801478,0.7905647739831477,0.9878658553300533
697,-2,14937.0,7501.0,7436.0,1.493436586096866,0.9986826787399206,0.7034409659904096,0.9946042809724533,0.7899956201064562,0.9921635297284301
698,-2,16726.25,7379.0,9347.25,1.6737035074290352,0.9939113647529942,0.7461965463159654,0.9958420174714866,0.9275069611130696,0.9860147491400788
699,-2,14087.5,6806.0,7281.5,1.3688814876058149,0.9935104866908164,0.6828904802349048,0.9900483898033331,0.6859910073709101,0.9902342266168233
700,-2,14832.0,7394.0,7438.0,1.4386457613569577,0.9987919558537776,0.7158180721981807,0.9980483413675553,0.7228276891587769,0.9984170803388639
701,-2,16073.0,7696.0,8377.0,1.6305285443747854,0.9984731741409382,0.7762522771845227,0.9968575417811816,0.8542762671902626,0.9969673385479522
702,-2,14685.5,7447.0,7238.5,1.4303982614144826,0.9961100258227303,0.763671503896715,0.992935461946836,0.6667267575177676,0.9916181441081947
703,-2,15453.5,7899.0,7554.5,1.5609170572456705,0.9978197167649399,0.818566398895664,0.9987837674789402,0.7423506583500066,0.9901629602212925
704,-2,19169.0,8732.0,10437.0,1.9750974357754743,0.9969918675609067,0.884037800678378,0.9974134576693876,1.0910596350970962,0.9879794539578519
705,-2,16864.0,8233.0,8631.0,1.7425374528523745,0.9967097666993366,0.8183655145376552,0.9989846489402207,0.9241719383147193,0.9904225288876236
706,-2,15634.0,7436.0,8198.0,1.6170408355354084,0.993895113981171,0.7707557897375579,0.993687429134305,0.8462850457978505,0.9924254509609587
707,-2,13818.0,6841.0,6977.0,1.4308575783600759,0.9975837319844002,0.7331500597195006,0.9922940338300751,0.6977075186405752,0.9899149607609528
708,-2,16085.0,8267.0,7818.0,1.6039545331575453,0.997990508084607,0.8114147637081477,0.9963479674174237,0.7925397694493977,0.9880245181803251
709,-2,15569.0,7999.0,7570.0,1.5690989883279898,0.99874146957238,0.8049210749072108,0.9948294678387153,0.7641779134207791,0.9984776908057515
710,-2,16264.25,7020.0,9244.25,1.632750016119,0.9976670142893928,0.6931809767478098,0.9940642838161174,0.9395690393711904,0.9895396102550675
711,-2,15302.0,7776.0,7526.0,1.5530160068751602,0.999089299857629,0.8104218039822181,0.9972034404322134,0.742594202892942,0.9968461783653811
712,-2,16503.25,7096.0,9407.25,1.619067598708176,0.9899868558378849,0.7021720265837202,0.9913007062323301,0.9168955721244557,0.986899297278819
713,-2,15831.75,7918.0,7913.75,1.5935731734117318,0.9992494746780509,0.817388501749885,0.9936109631334014,0.7761846716618467,0.9952943085103111
714,-2,15283.25,7813.0,7470.25,1.5358934662534347,0.9975422548761866,0.8222990908349909,0.9928073794647203,0.7135943754184437,0.9722344904815886
715,-2,15551.5,7093.0,8458.5,1.5583747421072474,0.9981068765503004,0.7066823807988238,0.9977548205062234,0.8516923613084236,0.992405042514919
716,-2,15550.5,8021.0,7529.5,1.56585799391708,0.9989608383977541,0.8067848853038488,0.9973063924337118,0.7590731086132311,0.9967906530491409
717,-2,14886.75,6921.0,7965.75,1.5482981604599817,0.994999307085103,0.7456654537666545,0.9949032353869792,0.8026327066933271,0.9912407533419674
718,-2,14710.0,7124.0,7586.0,1.469837511640375,0.998342560702915,0.7161102537691025,0.9980706156682948,0.7537272578712726,0.9954909505286543
719,-2,15223.0,7286.0,7937.0,1.4978406401949065,0.9941205838680667,0.687094100754941,0.9936409710292652,0.8107465394399654,0.9804716646268943
720,-2,15156.0,8207.0,6949.0,1.4977173480881736,0.9965057250717977,0.804448200124482,0.9951483806619871,0.6932691479636914,0.9952730972181609
721,-2,15743.5,7124.0,8619.5,1.5644491268649914,0.9986937035461442,0.7038017253060173,0.9977477180236993,0.860647401558974,0.9977097457252426
722,-2,15444.5,7953.0,7491.5,1.5501316852173168,0.9982088899972912,0.7985989287839893,0.9969752521767146,0.7515327564333275,0.9940935913155656
723,-2,16406.0,7797.0,8609.0,1.6998888864368888,0.997801097932397,0.7840943713489437,0.9970752914395347,0.9157945150879452,0.9955220130959154
724,-2,14708.25,7873.0,6835.25,1.4519066306675663,0.9969952128496801,0.7889899935358999,0.9948907861152956,0.6629166371316664,0.9961357466404944
725,-2,15117.5,7669.0,7448.5,1.4552086699520868,0.9973052515063605,0.7571044748930448,0.9973573812877027,0.698104195059042,0.9949570793539174
726,-2,14636.75,7803.0,6833.75,1.4137309106683091,0.9969692126794134,0.7717746574997466,0.9920614051817838,0.6419562531685625,0.9859403798580877
727,-2,14887.0,7293.0,7594.0,1.4648462213259623,0.9968439160876876,0.7519687131736872,0.9952928525444819,0.7128775081522751,0.9876323011280765
728,-2,14345.0,7553.0,6792.0,1.444485507776855,0.9981501571392124,0.7735023276430233,0.9980180767200372,0.6709831801338318,0.9921038601778039
729,-2,13496.25,7387.0,6109.25,1.33119601076496,0.9957740133871104,0.7042472701844728,0.9971564174508644,0.6269487405804874,0.990829027258259
730,-2,16074.0,7429.0,8645.0,1.6676105235711052,0.997740582559549,0.7837312104313121,0.9943554808194266,0.8838793131397932,0.997698522790479
731,-2,13400.0,6617.0,6783.0,1.38078599350086,0.9964097535877063,0.6665888387458884,0.9917107009467456,0.7141971547549716,0.9915753253961427
732,-2,14999.0,6900.0,8099.0,1.5393997687599976,0.9970288623495346,0.6794688293126883,0.9943090067928455,0.8599309394473094,0.9929672908703983
733,-2,14736.25,6741.0,7995.25,1.5024746380792464,0.9992226963122249,0.6876047773560477,0.9962925824564648,0.8148698607231986,0.9952108372686944
734,-2,17416.0,8531.0,8885.0,1.7334918672909188,0.9972850252262758,0.8642622335246223,0.9981228646217738,0.8692296337662964,0.9933872682154177
735,-2,13009.0,6649.0,6360.0,1.2519394717263947,0.9941125327368062,0.6592237749462377,0.9939621473404132,0.592715696780157,0.9910209367730745
736,-2,15359.75,8522.0,6837.75,1.5115281369312814,0.9984222380093873,0.8147061200030612,0.9949466118565342,0.6968220169282202,0.9879440721932048
737,-2,14383.0,7706.0,6677.0,1.3902615785751158,0.991510191667141,0.7517262864592629,0.9940108889776071,0.6385352921158529,0.9824384830796269
738,-2,17951.0,8937.0,9014.0,1.7777984527949846,0.9954791671041574,0.8836674619426746,0.9987584774936487,0.89413099085231,0.9864948669021076
739,-2,14493.5,6995.0,7498.5,1.4771117565021175,0.9988174644293516,0.690194505031945,0.9984874033398109,0.7869172514701726,0.996201036097461
740,-2,14396.0,6853.0,7543.0,1.4383905279424052,0.9982810954781252,0.7105316310733163,0.9963820946392583,0.727858896869089,0.9949499544645412
741,-2,14457.5,7102.0,7355.5,1.4010879837503798,0.9975782996941869,0.6967333215613332,0.997255483160538,0.7043546621890466,0.9941723493379112
742,-2,14889.5,7571.0,7318.5,1.5193840797903408,0.9984136533654904,0.7403819134798192,0.9980758652382413,0.7790021663105217,0.9949852238349562
743,-2,14378.75,6496.0,7882.75,1.5096494741389948,0.996318947944523,0.6525764595577646,0.9985830423220018,0.8570730145812302,0.9874201038702124
744,-2,16282.0,8390.0,7892.0,1.59489300648693,0.9982566952707382,0.7988249539522495,0.9972599197266306,0.7960680525346805,0.9963813709451631
745,-2,16494.25,7862.0,8632.25,1.563864897676149,0.9965778289930561,0.7060896141648961,0.985976133135408,0.8577752835112529,0.988984547793294
746,-2,14423.0,7896.0,6527.0,1.4620893200163931,0.9964379134598963,0.8079470127814701,0.9960099594963039,0.6541423072349231,0.9769130818191327
747,-2,14366.0,7006.0,7360.0,1.418262699502627,0.999366026285507,0.669565096421651,0.9946400703493619,0.748697603080976,0.9966829440226941
748,-2,17235.0,8060.0,9175.0,1.6496113794786138,0.9986958065352225,0.7693579405875794,0.9984114426832553,0.8802534388910344,0.996714656730554
